Gene,LogFC,FDR,Importance,Source
TXLNGY,,,0.0286262021946138,Previous
GRAMD1C,,,-0.0285240549544623,Previous
MEF2C-AS1,,,0.0282990584228323,Previous
SORD-AS1,,,0.0282562890804366,Previous
TIMM23B-AGAP6,,,0.0281894778394459,Previous
CMTM1,,,0.0272700498370162,Previous
SRP9P1,,,0.0272575818401844,Previous
WASHC4,,,-0.0267938061705914,Previous
BCL2A1,,,0.0267919568778048,Previous
RPS15AP1,,,0.026084421250013,Previous
TCAF1,,,0.025967030276348,Previous
RPL36AP37,,,0.0258326147361789,Previous
LOC105369595,,,-0.0256944323827501,Previous
SASH1,,,0.024727789692257,Previous
CDS1,,,0.0239279287472549,Previous
ATP8B4,,,0.0234639648175235,Previous
EFCAB13,,,0.0233670180996956,Previous
PMAIP1,,,-0.0232111252360875,Previous
FCHO2,,,-0.0230210146685762,Previous
MSANTD2-AS1,,,0.0229571217811923,Previous
RICTOR,,,-0.022938256133367,Previous
APOOL,,,0.0228068638876701,Previous
LTN1,,,-0.022760057540381,Previous
DNAJC28,,,0.0227195570455554,Previous
ZFP92,,,0.0225982636208387,Previous
EDEM3,,,-0.0225953734111677,Previous
TBC1D8B,,,0.0219415897588224,Previous
NEK7,,,-0.02192187219175,Previous
TAS2R40,,,-0.021672012048991,Previous
USP44,,,-0.0216371249229972,Previous
SPDYA,,,0.0212173169806353,Previous
ZNF292,,,-0.0206441509221211,Previous
IFT81,,,0.0204448384073949,Previous
TRIM23,,,-0.0204084961135818,Previous
NHS,,,0.020080294082322,Previous
FAR1,,,-0.019669325129852,Previous
MIR17HG,,,0.0195712736843629,Previous
TRIM61,,,0.0194972233384687,Previous
OSBPL8,,,-0.0194452250998418,Previous
TAS2R64P,,,0.0190212231865187,Previous
THBD,,,0.0189585071769143,Previous
PTAR1,,,-0.0187871913969969,Previous
TIPIN,,,0.0186216357085221,Previous
KCTD3,,,-0.0183052836015967,Previous
SHTN1,,,0.0180916629147521,Previous
OXR1,,,-0.0180458019072851,Previous
CXXC4,,,0.017920132190529,Previous
ST20-AS1,,,0.017852612963306,Previous
JMJD1C,,,-0.0177920951042587,Previous
ANO5,,,0.0176054468556599,Previous
LYSMD3,,,-0.017518428036619,Previous
ZNF644,,,-0.0174848339732607,Previous
SNX16,,,-0.0174721915057687,Previous
SUZ12,,,-0.017453874603409,Previous
BRIP1,,,0.0173338198171893,Previous
MYBPH,,,0.0173237811892625,Previous
IPMK,,,-0.017271141549631,Previous
SP3,,,-0.0172564530124248,Previous
PCMTD1,,,-0.0172134178713968,Previous
PLIN1,,,-0.01713127839253,Previous
FAM161A,,,0.0170595685639455,Previous
ITPK1-AS1,,,0.0169909787889855,Previous
CLK1,,,-0.0169448244760156,Previous
ZDHHC17,,,-0.0168375792221198,Previous
NUDT6,,,0.0167608286449643,Previous
TWF1,,,-0.0166641718318839,Previous
KLHL32,,,-0.0166245860512365,Previous
ZNF23,,,0.016494540486706,Previous
CYP51A1,,,0.0164838165572007,Previous
RBMY2SP,,,0.0164400110414309,Previous
PDGFC,,,0.0164119186023376,Previous
AGL,,,-0.0161912411851429,Previous
HYCC2,,,-0.016103633611291,Previous
COLEC12,,,0.0160798558939548,Previous
RRM2B,,,-0.0160313154355728,Previous
DNAJC9-AS1,,,0.0159881356262054,Previous
KCNIP4,,,-0.0158780210109938,Previous
SPOPL,,,-0.0158743690263362,Previous
SEMA3C,,,-0.0157494235632868,Previous
RGS18,,,-0.0157001669929027,Previous
EVI2A,,,-0.0155544135093076,Previous
ZNF721,,,-0.0154920446391813,Previous
LEMD3,,,-0.0153919346729362,Previous
PPP4R2,,,-0.0150311999081066,Previous
TMX3,,,-0.0149198000974208,Previous
ROCK1,,,-0.0147038056689251,Previous
KLHDC1,,,-0.0146205535498548,Previous
EGR2,,,0.0145826015801392,Previous
KL,,,0.0145678613051631,Previous
HDGFL3,,,0.0141223408832006,Previous
CYP1B1,,,-0.0140668243644519,Previous
RPS15AP24,,,0.0138073891404301,Previous
RB1CC1,,,-0.0136482358956133,Previous
CCDC15,,,0.0135154718738804,Previous
RBMS1P1,,,-0.0135084657222253,Previous
H2BC19P,,,0.013395777789114,Previous
FPGT,,,-0.0133005462656931,Previous
ZBTB11,,,-0.0132184592608907,Previous
KLRF1,,,0.0130283259499057,Previous
SNX10,,,-0.0129991438555725,Previous
GPNMB,,,0.0128932978013784,Previous
MGAM2,,,-0.0128913652391666,Previous
FBXL3,,,-0.0128402105012008,Previous
ABCB10,,,-0.0127233440194995,Previous
TSNAX,,,-0.0127050172285908,Previous
PLAGL1,,,-0.0126308647715885,Previous
KIF20B,,,-0.0126250929276232,Previous
MOB1B,,,-0.0125738815642145,Previous
SLCO4C1,,,0.0124801269713085,Previous
ADAMTS1,,,0.0123173347358416,Previous
ANKRD12,,,-0.0120636841946427,Previous
ZFY,,,0.0118888541178606,Previous
LOC124904411,,,0.0116977769943364,Previous
ZNF107,,,-0.0116431514281125,Previous
PPP1R17,,,0.0116201162948404,Previous
ZNF267,,,-0.0115959969278725,Previous
MYLK4,,,-0.0114417034260804,Previous
ZWILCH,,,0.011308550419147,Previous
HECW2,,,-0.0111311513318352,Previous
LINC01580,,,0.0111272168687149,Previous
EXPH5,,,0.0110057867888244,Previous
OTUD6B,,,-0.0107762407284051,Previous
RPS4XP16,,,0.010714937470749,Previous
ADAM10,,,-0.010611317333121,Previous
GNRHR,,,0.0102762492021622,Previous
SGO2,,,-0.0101018481920016,Previous
KTN1,,,-0.0100487380691717,Previous
HOMER1,,,0.0096906587878434,Previous
LIG4,,,-0.0095794331132693,Previous
ZNF569,,,-0.009470848155618,Previous
RANBP6,,,-0.0093022590489695,Previous
PIGA,,,-0.0092688843594472,Previous
SCN9A,,,0.0089954326361247,Previous
DCP2,,,-0.0089419238143284,Previous
PRDM5,,,0.0089075165703438,Previous
C2ORF69,,,-0.008715280273334,Previous
PPM1B,,,-0.0086961854394662,Previous
SGPP1,,,-0.0085136393001671,Previous
KBTBD8,,,-0.0084849315475933,Previous
DEK,,,-0.0083726253370118,Previous
BACH1,,,-0.008272018616024,Previous
ERI2,,,0.008229949304253,Previous
