Gene,log2FC,p_value,FDR
ENSG00000128872,0.7962980647285924,0.02168245176734078,0.48882457721850875
ENSG00000138594,0.6351490992436517,0.023849303643923618,0.48882457721850875
ENSG00000166477,0.56223024882686,0.0508094378844517,0.48882457721850875
ENSG00000164506,0.797564841633144,0.010367998526750794,0.48882457721850875
ENSG00000144214,0.41605882135716854,0.046850497022596506,0.48882457721850875
ENSG00000115514,0.8773301717041733,0.03159937542703425,0.48882457721850875
ENSG00000135945,0.6720410134997721,0.05134150944589074,0.48882457721850875
ENSG00000126467,0.8973613206594311,0.027047084326836123,0.48882457721850875
ENSG00000232334,0.9764311560158583,0.045347340963293056,0.48882457721850875
ENSG00000196867,0.9304387602495643,0.02297431461732611,0.48882457721850875
ENSG00000255234,0.6927512275089618,0.04578531875977452,0.48882457721850875
ENSG00000171204,0.8138897165988421,0.049777119644978586,0.48882457721850875
ENSG00000182022,0.507644467214293,0.027248855976386804,0.48882457721850875
ENSG00000256448,0.4515241050200487,0.05115000621212086,0.48882457721850875
ENSG00000175582,0.6577011331853413,0.034827777519044784,0.48882457721850875
ENSG00000160472,0.4166666666666667,0.017180487343013168,0.48882457721850875
ENSG00000081014,0.8926507407138136,0.010267775186039772,0.48882457721850875
ENSG00000259678,0.4427318453582879,0.048197006353669525,0.48882457721850875
ENSG00000244879,0.8785195615271659,0.008021692956287263,0.48882457721850875
ENSG00000259715,1.4466409886831775,0.00361221826082111,0.48882457721850875
