Gene,PD_mean,CC_mean,Difference
ENSG00000225345,1.7319156511817724,0.4269485659642797,1.3049670852174926
ENSG00000242550,4.8041386308421945,3.5026594773140443,1.3014791535281502
ENSG00000272746,2.7230958842356277,1.4234689027476348,1.2996269814879928
ENSG00000227671,7.841508446743107,6.543764028415093,1.2977444183280138
ENSG00000258476,5.766756547275342,4.469689976826691,1.297066570448651
ENSG00000266912,1.5230406618239327,0.22642321438873658,1.2966174474351961
ENSG00000204466,4.838489769207256,3.544755580914998,1.293734188292258
ENSG00000138738,5.1828444742826685,3.8909775366015245,1.291866937681144
ENSG00000074803,5.1701755399534495,3.8786599378011766,1.291515602152273
ENSG00000152926,8.920656192135636,7.633237700258692,1.2874184918769442
ENSG00000248309,3.7932013857265012,2.506447795221731,1.2867535905047705
ENSG00000174405,6.1428902582052665,4.8616818948628095,1.281208363342457
ENSG00000113595,6.49315699506738,5.214285683827528,1.2788713112398522
ENSG00000196437,5.0067761438214555,3.7296772405306493,1.2770989032908062
ENSG00000158270,2.6542537095394,1.377351015074759,1.2769026944646409
ENSG00000111537,3.487046414574358,2.210922343973113,1.2761240706012447
ENSG00000268240,4.237086209375707,2.961394495690317,1.2756917136853896
ENSG00000237984,4.65128425946646,3.380042634701948,1.2712416247645124
ENSG00000272853,3.2374585291386997,1.981008951634211,1.2564495775044886
ENSG00000154262,3.293445691054991,2.0381752127173276,1.2552704783376636
ENSG00000260787,5.306181196696399,4.05183059745777,1.254350599238629
ENSG00000215447,3.9365634262517566,2.682856838033529,1.2537065882182277
ENSG00000126821,7.207067966089281,5.9537167413479555,1.2533512247413254
ENSG00000226524,2.664909002013044,1.4152700850869309,1.2496389169261133
ENSG00000203668,5.4763297360039935,4.2267424522376515,1.249587283766342
ENSG00000128609,6.7132691251791465,5.464977682511619,1.2482914426675276
ENSG00000224892,3.362183317980642,2.1148996029139355,1.2472837150667067
ENSG00000224533,1.6038950498744284,0.35714285714285715,1.2467521927315712
ENSG00000170264,3.11121410425361,1.8654815246046732,1.245732579648937
ENSG00000249309,2.601601862790853,1.355979013761382,1.245622849029471
ENSG00000110723,3.401313311678747,2.1571751464896183,1.2441381651891286
ENSG00000023287,8.694148303636126,7.450013920161593,1.2441343834745329
ENSG00000170017,7.548783380858546,6.305045157224073,1.2437382236344732
ENSG00000155008,2.549982443527369,1.3065096227036856,1.2434728208236834
ENSG00000253854,2.8215263493236846,1.579499229257451,1.2420271200662336
ENSG00000249396,2.29691851085328,1.0552242290514064,1.2416942818018735
ENSG00000089048,5.089248623567536,3.848233815448265,1.241014808119271
ENSG00000104725,5.937243134793139,4.6989558111391645,1.2382873236539744
ENSG00000169507,3.759288576845572,2.5216148492697683,1.2376737275758036
ENSG00000198420,3.6745360111112535,2.4384582419516994,1.2360777691595541
ENSG00000218809,4.847118835863821,3.612096300626021,1.2350225352377997
ENSG00000183496,2.341033739787352,1.1094387726682422,1.23159496711911
ENSG00000130037,2.1281562763620614,0.8977620495271789,1.2303942268348824
ENSG00000226874,2.8706039662340266,1.6408309543113409,1.2297730119226857
ENSG00000258730,3.0166749822819185,1.7895530897913656,1.227121892490553
ENSG00000198707,5.5931795822437875,4.366633757963344,1.2265458242804437
ENSG00000237805,2.385065320816917,1.1592013350354198,1.2258639857814972
ENSG00000163376,5.704688752627294,4.48029647922331,1.2243922734039838
ENSG00000102174,4.174990305238499,2.9511150023683936,1.223875302870105
ENSG00000248734,4.004693100061911,2.7821599058089466,1.2225331942529647
ENSG00000170677,4.655509953604499,3.4332816145066856,1.2222283390978133
