Gene,Coefficient,Abs_Coefficient
GEMIN2,0.0062282021517855,0.0062282021517855
SMIM8,-0.0061973130230408,0.0061973130230408
ZNF322,0.0060355103415855,0.0060355103415855
RNU6-1005P,0.0059893477485615,0.0059893477485615
ZNF674-AS1,0.0058492559448174,0.0058492559448174
SLC19A2,0.0056001963906893,0.0056001963906893
TTC9-DT,0.005451378369588,0.005451378369588
PHEX,-0.0053750059970045,0.0053750059970045
SOCS6,0.0053743214907884,0.0053743214907884
ENSG00000267510,0.0052327358769945,0.0052327358769945
MAP10,-0.0050861962159572,0.0050861962159572
ESF1,-0.0050634527610131,0.0050634527610131
CETN3,0.0050352881091352,0.0050352881091352
PIBF1,-0.0049491560999273,0.0049491560999273
ENSG00000147180,-0.0048857647016873,0.0048857647016873
ECT2,-0.0048702108039334,0.0048702108039334
ENSG00000228451,0.0047586142309548,0.0047586142309548
LINC02762,-0.0045906760875047,0.0045906760875047
PTENP1,0.0045504788269361,0.0045504788269361
TRIM9,0.0045492809066922,0.0045492809066922
PACRGL,0.0045201969028618,0.0045201969028618
RBM47,-0.0043833171679227,0.0043833171679227
ENSG00000109475,0.0042874985513423,0.0042874985513423
ENSG00000264868,-0.0041794265230314,0.0041794265230314
GABRR2,0.0041417681400587,0.0041417681400587
ZNF283,-0.0040615629919338,0.0040615629919338
SORBS1,0.0039876584577031,0.0039876584577031
CACNB4,-0.0039481172303148,0.0039481172303148
PDK4,0.0039414612018951,0.0039414612018951
HCG11,0.003923328326054,0.003923328326054
NID2,-0.0038371184725298,0.0038371184725298
KIF27,-0.0037870048938758,0.0037870048938758
TDRD6,0.0037731320991637,0.0037731320991637
NDUFA5,-0.0037687606534345,0.0037687606534345
DNAJC3-DT,-0.0037114579964976,0.0037114579964976
ENSG00000161970,0.0036160569078275,0.0036160569078275
PREP-AS1,0.0035657180145004,0.0035657180145004
PDCD10,0.0035509932558618,0.0035509932558618
ENSG00000257599,0.0034458858740974,0.0034458858740974
LACC1,0.0033558539683695,0.0033558539683695
ALDH1A2,-0.0033380918403114,0.0033380918403114
ALCAM,0.0033195369293628,0.0033195369293628
ENSG00000253667,0.00329260510094,0.00329260510094
MEX3B,0.0032287361882258,0.0032287361882258
ENSG00000234338,-0.0031584662245901,0.0031584662245901
RBM41,0.003104928004113,0.003104928004113
NAP1L2,-0.0030190096637643,0.0030190096637643
PTCH1,0.0030072375342528,0.0030072375342528
PM20D2,-0.0027296732617511,0.0027296732617511
JRKL,0.0027258721949235,0.0027258721949235
ENSG00000184293,0.0027257581966382,0.0027257581966382
CCDC122,-0.0027218406040761,0.0027218406040761
ENSG00000136866,0.0026875964028855,0.0026875964028855
TNFRSF9,-0.0025644212310869,0.0025644212310869
ZNF731P,0.0025621254450787,0.0025621254450787
ENSG00000265728,-0.0025363834530709,0.0025363834530709
LIPT2-AS1,0.0023628839462705,0.0023628839462705
ITPR1-DT,-0.0023172036663663,0.0023172036663663
JDP2-AS1,-0.0022926301897522,0.0022926301897522
ENSG00000138326,0.0022272170250322,0.0022272170250322
ZNF879,0.002095381430724,0.002095381430724
ENSG00000164283,-0.0020746093279356,0.0020746093279356
RASGRF1,0.0019954439549161,0.0019954439549161
ENSG00000247134,-0.0019921554404991,0.0019921554404991
ASPH,0.0019597685382703,0.0019597685382703
SYCP2,-0.0019593618265327,0.0019593618265327
SERPINI1,-0.0016722656318328,0.0016722656318328
ENSG00000101132,0.0016175953507685,0.0016175953507685
ENSG00000175984,-0.0015979506700885,0.0015979506700885
B4GALT6,-0.0014212804086502,0.0014212804086502
ENSG00000218809,-0.0012449415200258,0.0012449415200258
ENSG00000215447,-0.0011929616742766,0.0011929616742766
ENSG00000196409,0.0011504782624766,0.0011504782624766
MYO16-AS1,0.0010667320710462,0.0010667320710462
CDK14,0.0010406169060192,0.0010406169060192
ASB3,-0.0009829954203095,0.0009829954203095
ENSG00000249863,-0.00091198041005,0.00091198041005
ENSG00000230492,0.0008596202730775,0.0008596202730775
ENSG00000259668,-0.0007716485567089,0.0007716485567089
TENM1,-0.0006778725327755,0.0006778725327755
ENSG00000169507,0.0006621907422008,0.0006621907422008
TAFA2,-0.0006163028158709,0.0006163028158709
ENSG00000154262,0.0005202614686223,0.0005202614686223
ENSG00000241157,-0.0004383094487289,0.0004383094487289
DCAF4L1,0.0003939355325906,0.0003939355325906
PDIK1L,-0.0002197389363166,0.0002197389363166
ZNF718,0.0002159934883278,0.0002159934883278
ZNF117,-4.7365672688681056e-05,4.7365672688681056e-05
