Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
ABI3BP,432.894,174.678,283.652,262.171,122.078,412.126,121.395,375.849,329.936,328.497
ABITRAM,594.0,330.001,432.0,597.972,338.993,572.947,243.0,380.0,547.999,464.0
ABITRAMP1,6.0,5.0,0.0,4.027,1.008,7.053,3.0,4.0,7.0,7.0
ABL1,3142.0,2185.0,2325.0,3484.0,1719.0,3395.0,1851.0,2723.0,3143.0,2725.001
ABL2,1590.434,926.089,1023.288,1770.347,793.599,1551.529,789.514,1314.745,1558.018,1518.47
ABLIM1,5089.058,2966.788,4258.37,5598.73,3193.157,5577.004,2841.092,4360.744,5169.289,4612.391
ABLIM2,798.999,587.999,554.001,1115.0,712.001,871.0,248.999,753.0,649.999,479.001
ABLIM3,2030.0,977.0,1079.999,1992.999,974.0,1487.0,850.001,1381.001,1739.999,1242.001
ABO,101.18,53.517,99.749,84.427,49.22,110.155,94.268,96.503,123.562,119.491
ABR,64.108,17.507,34.81,63.978,41.723,66.63,1113.446,3022.373,2644.75,11.581
ABR-AS1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABRA,5.0,2.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,12.134
ABRACL,271.0,83.0,90.0,188.0,82.0,106.0,99.0,108.0,121.0,156.0
ABRAXAS1,270.309,147.158,216.758,239.895,147.363,240.61,117.092,226.235,244.924,254.447
ABRAXAS1P1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
ABRAXAS1P2,12.352,11.446,14.067,25.495,8.288,17.923,12.988,9.04,17.385,35.396
ABRAXAS2,530.0,258.0,308.0,585.0,245.0,486.0,210.0,388.0,433.0,409.0
ABT1,368.0,229.0,260.0,435.0,207.0,317.0,195.0,326.0,290.0,281.0
ABT1P1,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
ABTB1,1040.002,763.0,1094.0,1186.001,856.0,1333.001,1093.001,1002.002,1098.0,1090.0
ABTB2,1231.0,1074.0,1403.0,1462.0,977.0,1688.0,995.0,1712.0,1403.0,1476.0
ABTB3,863.0,503.968,432.223,1078.073,674.079,886.183,199.261,523.02,679.492,395.17
ACAA1,2597.266,1854.832,2171.181,2895.132,1523.499,2712.533,1699.04,1968.021,2288.055,2032.875
ACAA2,1875.327,1510.939,1543.123,1749.168,888.927,1834.488,1085.513,1241.265,1929.57,1576.215
ACAA2P1,15.844,27.933,33.684,25.654,11.701,23.676,7.534,20.668,19.373,19.623
ACACA,3009.784,1875.577,2296.617,3237.651,2242.521,3776.211,788.782,2583.2,3131.766,1711.806
ACACB,1695.706,1280.515,2032.36,1535.682,920.719,2130.91,1172.972,1625.798,1506.554,1772.994
ACAD10,499.254,325.987,410.975,584.429,296.238,551.492,273.941,414.88,482.138,460.016
ACAD11,2386.691,1333.613,1563.076,2435.494,1128.878,2078.296,895.816,2055.149,2195.514,2636.891
ACAD8,1030.62,693.208,861.372,1269.313,586.847,1260.222,541.003,944.594,1075.291,1045.155
ACAD9,871.087,617.141,621.997,995.085,565.655,830.864,306.234,605.52,778.539,505.578
ACADL,57.0,39.0,64.001,79.0,14.0,58.0,22.0,70.0,97.0,115.999
ACADM,2139.926,1282.0,1372.0,2055.016,956.001,1857.0,665.999,1536.999,2043.999,1833.999
ACADS,444.0,394.0,349.0,485.001,238.0,404.0,223.0,250.001,484.0,310.999
ACADSB,1368.014,837.962,910.025,1407.804,814.865,1532.618,300.797,1110.336,1496.258,1093.842
ACADVL,7531.001,4394.0,6272.002,6716.0,3477.998,6903.998,4630.002,5008.001,5663.001,5469.002
ACAN,105.06,58.591,52.15,159.272,62.074,104.908,115.147,98.312,243.781,173.666
ACAP1,218.068,100.442,142.134,213.769,72.453,137.889,148.41,143.891,183.393,186.358
ACAP2,1633.56,953.337,1113.576,1523.548,713.515,1547.184,621.813,1231.129,1520.398,1495.368
ACAP2-IT1,41.0,12.0,25.0,47.0,8.0,40.0,5.0,20.0,29.0,23.0
